address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Collins Barracks Museum,87,32,True,38,"{'lat': 53.347477, 'lng': -6.28525}",1521485541000,False,COLLINS BARRACKS MUSEUM,6,Dublin,OPEN
Brookfield Road,84,27,False,30,"{'lat': 53.339005, 'lng': -6.300217}",1521485807000,False,BROOKFIELD ROAD,3,Dublin,OPEN
Benson Street,90,0,False,40,"{'lat': 53.344153, 'lng': -6.233451}",1521485745000,False,BENSON STREET,0,Dublin,CLOSED
Earlsfort Terrace,11,29,False,30,"{'lat': 53.334019, 'lng': -6.258371}",1521485893000,False,EARLSFORT TERRACE,1,Dublin,OPEN
Golden Lane,17,5,False,20,"{'lat': 53.340803, 'lng': -6.267732}",1521485753000,False,GOLDEN LANE,15,Dublin,OPEN
Deverell Place,45,19,False,30,"{'lat': 53.351464, 'lng': -6.255265}",1521485682000,False,DEVERELL PLACE,11,Dublin,OPEN
John Street West,72,10,False,31,"{'lat': 53.343105, 'lng': -6.277167}",1521485814000,False,JOHN STREET WEST,21,Dublin,OPEN
Fenian Street,63,0,False,35,"{'lat': 53.341428, 'lng': -6.24672}",1521485663000,False,FENIAN STREET,35,Dublin,OPEN
South Dock Road,91,1,False,30,"{'lat': 53.341833, 'lng': -6.231291}",1521485710000,False,SOUTH DOCK ROAD,29,Dublin,OPEN
City Quay,99,25,False,30,"{'lat': 53.346637, 'lng': -6.246154}",1521485819000,False,CITY QUAY,5,Dublin,OPEN
Exchequer Street,9,1,False,24,"{'lat': 53.343034, 'lng': -6.263578}",1521486005000,False,EXCHEQUER STREET,23,Dublin,OPEN
The Point,67,21,False,40,"{'lat': 53.346867, 'lng': -6.230852}",1521486010000,False,THE POINT,19,Dublin,OPEN
Hatch Street,55,33,False,36,"{'lat': 53.33403, 'lng': -6.260714}",1521485615000,False,HATCH STREET,3,Dublin,OPEN
Lime Street,62,20,False,40,"{'lat': 53.346026, 'lng': -6.243576}",1521485963000,False,LIME STREET,20,Dublin,OPEN
Charlemont Street,5,30,False,40,"{'lat': 53.330662, 'lng': -6.260177}",1521486028000,False,CHARLEMONT PLACE,10,Dublin,OPEN
Kilmainham Gaol,97,33,True,40,"{'lat': 53.342113, 'lng': -6.310015}",1521485690000,False,KILMAINHAM GAOL,7,Dublin,OPEN
Hardwicke Place,61,25,True,25,"{'lat': 53.357043, 'lng': -6.263232}",1521485708000,False,HARDWICKE PLACE,0,Dublin,OPEN
Wolfe Tone Street,77,6,False,29,"{'lat': 53.348875, 'lng': -6.267459}",1521486034000,False,WOLFE TONE STREET,23,Dublin,OPEN
Francis Street,73,11,True,30,"{'lat': 53.342081, 'lng': -6.275233}",1521485739000,False,FRANCIS STREET,19,Dublin,OPEN
