address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Charlemont Street,5,33,False,40,"{'lat': 53.330662, 'lng': -6.260177}",1521489111000,False,CHARLEMONT PLACE,7,Dublin,OPEN
Kilmainham Gaol,97,32,True,40,"{'lat': 53.342113, 'lng': -6.310015}",1521488763000,False,KILMAINHAM GAOL,8,Dublin,OPEN
Hardwicke Place,61,25,True,25,"{'lat': 53.357043, 'lng': -6.263232}",1521489251000,False,HARDWICKE PLACE,0,Dublin,OPEN
Wolfe Tone Street,77,11,False,29,"{'lat': 53.348875, 'lng': -6.267459}",1521489079000,False,WOLFE TONE STREET,18,Dublin,OPEN
Francis Street,73,13,True,30,"{'lat': 53.342081, 'lng': -6.275233}",1521489282000,False,FRANCIS STREET,17,Dublin,OPEN
Greek Street,4,16,False,20,"{'lat': 53.346874, 'lng': -6.272976}",1521488907000,False,GREEK STREET,4,Dublin,OPEN
Guild Street,49,36,False,40,"{'lat': 53.347932, 'lng': -6.240928}",1521489147000,False,GUILD STREET,4,Dublin,OPEN
Herbert Place,19,14,False,30,"{'lat': 53.334432, 'lng': -6.245575}",1521488909000,False,HERBERT PLACE,16,Dublin,OPEN
High Street,7,10,True,29,"{'lat': 53.343565, 'lng': -6.275071}",1521488850000,False,HIGH STREET,19,Dublin,OPEN
North Circular Road,60,18,True,30,"{'lat': 53.359624, 'lng': -6.260348}",1521489259000,False,NORTH CIRCULAR ROAD,12,Dublin,OPEN
Western Way,102,33,False,40,"{'lat': 53.354929, 'lng': -6.269425}",1521489176000,False,WESTERN WAY,7,Dublin,OPEN
Talbot Street,38,14,False,40,"{'lat': 53.350974, 'lng': -6.25294}",1521488753000,False,TALBOT STREET,26,Dublin,OPEN
Newman House,53,30,False,40,"{'lat': 53.337132, 'lng': -6.26059}",1521488899000,False,NEWMAN HOUSE,10,Dublin,OPEN
Sir Patrick's Dun,58,19,True,40,"{'lat': 53.339218, 'lng': -6.240642}",1521489281000,False,SIR PATRICK DUN'S,21,Dublin,OPEN
New Central Bank,66,33,False,40,"{'lat': 53.347122, 'lng': -6.234749}",1521488781000,False,NEW CENTRAL BANK,7,Dublin,OPEN
King Street North,101,22,False,30,"{'lat': 53.350291, 'lng': -6.273507}",1521489290000,False,KING STREET NORTH,8,Dublin,OPEN
Herbert Street,47,3,False,40,"{'lat': 53.335742, 'lng': -6.24551}",1521489296000,False,HERBERT STREET,37,Dublin,OPEN
Custom House Quay,8,13,False,30,"{'lat': 53.347884, 'lng': -6.248048}",1521489328000,False,CUSTOM HOUSE QUAY,17,Dublin,OPEN
Molesworth Street,27,12,False,20,"{'lat': 53.341288, 'lng': -6.258117}",1521488926000,False,MOLESWORTH STREET,8,Dublin,OPEN
Georges Quay,16,4,False,20,"{'lat': 53.347508, 'lng': -6.252192}",1521489282000,False,GEORGES QUAY,16,Dublin,OPEN
Kilmainham Lane,96,29,False,30,"{'lat': 53.341805, 'lng': -6.305085}",1521489124000,False,KILMAINHAM LANE,1,Dublin,OPEN
Mount Brown,82,13,False,22,"{'lat': 53.341645, 'lng': -6.29719}",1521489315000,False,MOUNT BROWN,9,Dublin,OPEN
Market Street South,76,30,False,38,"{'lat': 53.342296, 'lng': -6.287661}",1521488892000,False,MARKET STREET SOUTH,8,Dublin,OPEN
Kevin Street,71,22,True,40,"{'lat': 53.337757, 'lng': -6.267699}",1521488825000,False,KEVIN STREET,18,Dublin,OPEN
Eccles Street East,79,26,False,27,"{'lat': 53.358115, 'lng': -6.265601}",1521488733000,False,ECCLES STREET EAST,1,Dublin,OPEN
Grand Canal Dock,69,5,False,40,"{'lat': 53.342638, 'lng': -6.238695}",1521489338000,False,GRAND CANAL DOCK,35,Dublin,OPEN
Merrion Square East,25,0,False,30,"{'lat': 53.339434, 'lng': -6.246548}",1521488897000,False,MERRION SQUARE EAST,30,Dublin,CLOSED
York Street West,51,22,False,40,"{'lat': 53.339334, 'lng': -6.264699}",1521488764000,False,YORK STREET WEST,18,Dublin,OPEN
St. Stephen's Green South,37,25,True,30,"{'lat': 53.337494, 'lng': -6.26199}",1521489094000,False,ST. STEPHEN'S GREEN SOUTH,5,Dublin,OPEN
Denmark Street Great,59,20,False,20,"{'lat': 53.35561, 'lng': -6.261397}",1521489153000,False,DENMARK STREET GREAT,0,Dublin,OPEN
Royal Hospital,95,31,True,40,"{'lat': 53.343897, 'lng': -6.29706}",1521489008000,False,ROYAL HOSPITAL,9,Dublin,OPEN
Heuston Station (Car Park),94,17,False,40,"{'lat': 53.346985, 'lng': -6.297804}",1521489125000,False,HEUSTON STATION (CAR PARK),23,Dublin,OPEN
St. Stephen's Green East,36,19,True,40,"{'lat': 53.337824, 'lng': -6.256035}",1521489018000,False,ST. STEPHEN'S GREEN EAST,21,Dublin,OPEN
Heuston Station (Central),93,0,False,40,"{'lat': 53.346603, 'lng': -6.296924}",1521489252000,False,HEUSTON STATION (CENTRAL),40,Dublin,OPEN
Townsend Street,22,14,False,20,"{'lat': 53.345922, 'lng': -6.254614}",1521489106000,False,TOWNSEND STREET,6,Dublin,OPEN
Eccles Street,12,16,False,20,"{'lat': 53.359246, 'lng': -6.269779}",1521489040000,False,ECCLES STREET,3,Dublin,OPEN
Portobello Harbour,34,2,False,30,"{'lat': 53.330362, 'lng': -6.265163}",1521489289000,False,PORTOBELLO HARBOUR,28,Dublin,OPEN
Mater Hospital,78,33,False,40,"{'lat': 53.359967, 'lng': -6.264828}",1521488871000,False,MATER HOSPITAL,7,Dublin,OPEN
Blessington Street,2,19,True,20,"{'lat': 53.356769, 'lng': -6.26814}",1521489096000,False,BLESSINGTON STREET,1,Dublin,OPEN
James Street,75,40,True,40,"{'lat': 53.343456, 'lng': -6.287409}",1521489128000,False,JAMES STREET,0,Dublin,OPEN
Merrion Square West,26,15,True,20,"{'lat': 53.339764, 'lng': -6.251988}",1521489143000,False,MERRION SQUARE WEST,5,Dublin,CLOSED
Convention Centre,65,40,True,40,"{'lat': 53.34744, 'lng': -6.238523}",1521489111000,False,CONVENTION CENTRE,0,Dublin,OPEN
Hardwicke Street,15,16,False,16,"{'lat': 53.355473, 'lng': -6.264423}",1521488951000,False,HARDWICKE STREET,0,Dublin,OPEN
Parkgate Street,86,29,True,38,"{'lat': 53.347972, 'lng': -6.291804}",1521489045000,False,PARKGATE STREET,9,Dublin,OPEN
Smithfield,35,17,False,30,"{'lat': 53.347692, 'lng': -6.278214}",1521489072000,False,SMITHFIELD,13,Dublin,OPEN
Dame Street,10,3,True,16,"{'lat': 53.344007, 'lng': -6.266802}",1521489132000,False,DAME STREET,13,Dublin,OPEN
Heuston Bridge (South),100,21,False,25,"{'lat': 53.347106, 'lng': -6.292041}",1521489093000,False,HEUSTON BRIDGE (SOUTH),4,Dublin,OPEN
Cathal Brugha Street,24,8,False,20,"{'lat': 53.352149, 'lng': -6.260533}",1521489197000,False,CATHAL BRUGHA STREET,12,Dublin,OPEN
Sandwith Street,64,0,True,40,"{'lat': 53.345203, 'lng': -6.247163}",1521489161000,False,SANDWITH STREET,0,Dublin,CLOSED
Rothe Abbey,85,32,True,35,"{'lat': 53.338776, 'lng': -6.30395}",1521489231000,False,ROTHE ABBEY,3,Dublin,OPEN
Princes Street / O'Connell Street,33,2,True,23,"{'lat': 53.349013, 'lng': -6.260311}",1521489121000,False,PRINCES STREET / O'CONNELL STREET,21,Dublin,OPEN
Upper Sherrard Street,44,26,False,30,"{'lat': 53.358437, 'lng': -6.260641}",1521489029000,False,UPPER SHERRARD STREET,4,Dublin,OPEN
Fitzwilliam Square East,89,0,True,40,"{'lat': 53.335211, 'lng': -6.2509}",1521488835000,False,FITZWILLIAM SQUARE EAST,0,Dublin,CLOSED
Grattan Street,57,9,False,23,"{'lat': 53.339629, 'lng': -6.243778}",1521488771000,False,GRATTAN STREET,14,Dublin,OPEN
St James Hospital (Luas),80,38,False,40,"{'lat': 53.341359, 'lng': -6.292951}",1521489293000,False,ST JAMES HOSPITAL (LUAS),2,Dublin,OPEN
Harcourt Terrace,41,18,False,20,"{'lat': 53.332763, 'lng': -6.257942}",1521488921000,False,HARCOURT TERRACE,2,Dublin,OPEN
Bolton Street,3,13,False,20,"{'lat': 53.351182, 'lng': -6.269859}",1521488872000,False,BOLTON STREET,7,Dublin,OPEN
Strand Street Great,46,0,True,35,"{'lat': 53.347082, 'lng': -6.264192}",1521488807000,False,STRAND STREET GREAT,35,Dublin,OPEN
Jervis Street,40,10,True,21,"{'lat': 53.3483, 'lng': -6.266651}",1521489313000,False,JERVIS STREET,11,Dublin,OPEN
Ormond Quay Upper,29,1,True,29,"{'lat': 53.346057, 'lng': -6.268001}",1521489158000,False,ORMOND QUAY UPPER,28,Dublin,OPEN
Barrow Street,70,1,True,40,"{'lat': 53.341655, 'lng': -6.236198}",1521489329000,False,BARROW STREET,39,Dublin,OPEN
Mountjoy Square West,28,25,False,30,"{'lat': 53.356299, 'lng': -6.258586}",1521488785000,False,MOUNTJOY SQUARE WEST,5,Dublin,OPEN
Wilton Terrace,39,14,True,20,"{'lat': 53.332383, 'lng': -6.252717}",1521489099000,False,WILTON TERRACE,6,Dublin,OPEN
Emmet Road,83,32,False,40,"{'lat': 53.340714, 'lng': -6.308191}",1521489183000,False,EMMET ROAD,8,Dublin,OPEN
Heuston Bridge (North),92,6,False,40,"{'lat': 53.347802, 'lng': -6.292432}",1521489279000,False,HEUSTON BRIDGE (NORTH),34,Dublin,OPEN
Leinster Street South,21,11,False,30,"{'lat': 53.34218, 'lng': -6.254485}",1521489034000,False,LEINSTER STREET SOUTH,19,Dublin,OPEN
Blackhall Place,88,28,False,30,"{'lat': 53.3488, 'lng': -6.281637}",1521488865000,False,BLACKHALL PLACE,2,Dublin,OPEN
address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Smithfield North,42,16,True,30,"{'lat': 53.349562, 'lng': -6.278198}",1521489586000,False,SMITHFIELD NORTH,14,Dublin,OPEN
Parnell Square North,30,18,True,20,"{'lat': 53.353462, 'lng': -6.265305}",1521489336000,False,PARNELL SQUARE NORTH,2,Dublin,OPEN
Clonmel Street,54,11,False,33,"{'lat': 53.336021, 'lng': -6.26298}",1521489226000,False,CLONMEL STREET,22,Dublin,OPEN
Mount Street Lower,56,0,False,40,"{'lat': 53.33796, 'lng': -6.24153}",1521489456000,False,MOUNT STREET LOWER,40,Dublin,OPEN
Christchurch Place,6,1,False,20,"{'lat': 53.343368, 'lng': -6.27012}",1521489483000,False,CHRISTCHURCH PLACE,19,Dublin,OPEN
Grantham Street,18,1,True,30,"{'lat': 53.334123, 'lng': -6.265436}",1521489214000,False,GRANTHAM STREET,29,Dublin,OPEN
Pearse Street,32,25,True,30,"{'lat': 53.344304, 'lng': -6.250427}",1521489105000,False,PEARSE STREET,5,Dublin,OPEN
York Street East,52,32,False,32,"{'lat': 53.338755, 'lng': -6.262003}",1521489410000,False,YORK STREET EAST,0,Dublin,OPEN
Excise Walk,48,22,False,40,"{'lat': 53.347777, 'lng': -6.244239}",1521489213000,False,EXCISE WALK,18,Dublin,OPEN
Fitzwilliam Square West,13,6,False,30,"{'lat': 53.336074, 'lng': -6.252825}",1521489447000,False,FITZWILLIAM SQUARE WEST,24,Dublin,OPEN
Portobello Road,43,12,True,30,"{'lat': 53.330091, 'lng': -6.268044}",1521489257000,False,PORTOBELLO ROAD,18,Dublin,OPEN
St. James Hospital (Central),81,34,False,40,"{'lat': 53.339983, 'lng': -6.295594}",1521489421000,False,ST. JAMES HOSPITAL (CENTRAL),6,Dublin,OPEN
Parnell Street,31,18,False,20,"{'lat': 53.350929, 'lng': -6.265125}",1521489546000,False,PARNELL STREET,2,Dublin,OPEN
Frederick Street South,98,21,True,30,"{'lat': 53.341515, 'lng': -6.256853}",1521489049000,False,FREDERICK STREET SOUTH,9,Dublin,OPEN
Fownes Street Upper,14,8,False,30,"{'lat': 53.344603, 'lng': -6.263371}",1521489620000,False,FOWNES STREET UPPER,22,Dublin,OPEN
Clarendon Row,1,16,False,31,"{'lat': 53.340927, 'lng': -6.262501}",1521489387000,False,CLARENDON ROW,15,Dublin,OPEN
Custom House,23,0,True,30,"{'lat': 53.348279, 'lng': -6.254662}",1521489037000,False,CUSTOM HOUSE,30,Dublin,CLOSED
Hanover Quay,68,20,True,40,"{'lat': 53.344115, 'lng': -6.237153}",1521489089000,False,HANOVER QUAY,20,Dublin,OPEN
Oliver Bond Street,74,24,False,30,"{'lat': 53.343893, 'lng': -6.280531}",1521489352000,False,OLIVER BOND STREET,6,Dublin,OPEN
Collins Barracks Museum,87,32,True,38,"{'lat': 53.347477, 'lng': -6.28525}",1521489193000,False,COLLINS BARRACKS MUSEUM,6,Dublin,OPEN
Brookfield Road,84,24,False,30,"{'lat': 53.339005, 'lng': -6.300217}",1521489551000,False,BROOKFIELD ROAD,6,Dublin,OPEN
Benson Street,90,0,False,40,"{'lat': 53.344153, 'lng': -6.233451}",1521489400000,False,BENSON STREET,0,Dublin,CLOSED
Earlsfort Terrace,11,29,False,30,"{'lat': 53.334019, 'lng': -6.258371}",1521489548000,False,EARLSFORT TERRACE,1,Dublin,OPEN
Golden Lane,17,7,False,20,"{'lat': 53.340803, 'lng': -6.267732}",1521489460000,False,GOLDEN LANE,13,Dublin,OPEN
Deverell Place,45,19,False,30,"{'lat': 53.351464, 'lng': -6.255265}",1521489224000,False,DEVERELL PLACE,11,Dublin,OPEN
John Street West,72,7,False,31,"{'lat': 53.343105, 'lng': -6.277167}",1521489402000,False,JOHN STREET WEST,24,Dublin,OPEN
Fenian Street,63,0,False,35,"{'lat': 53.341428, 'lng': -6.24672}",1521489375000,False,FENIAN STREET,35,Dublin,OPEN
South Dock Road,91,0,False,30,"{'lat': 53.341833, 'lng': -6.231291}",1521489607000,False,SOUTH DOCK ROAD,30,Dublin,OPEN
City Quay,99,22,False,30,"{'lat': 53.346637, 'lng': -6.246154}",1521489091000,False,CITY QUAY,8,Dublin,OPEN
Exchequer Street,9,4,False,24,"{'lat': 53.343034, 'lng': -6.263578}",1521489303000,False,EXCHEQUER STREET,20,Dublin,OPEN
The Point,67,19,False,40,"{'lat': 53.346867, 'lng': -6.230852}",1521489071000,False,THE POINT,21,Dublin,OPEN
Hatch Street,55,34,False,36,"{'lat': 53.33403, 'lng': -6.260714}",1521489477000,False,HATCH STREET,2,Dublin,OPEN
Lime Street,62,21,False,40,"{'lat': 53.346026, 'lng': -6.243576}",1521489565000,False,LIME STREET,19,Dublin,OPEN
Charlemont Street,5,33,False,40,"{'lat': 53.330662, 'lng': -6.260177}",1521489443000,False,CHARLEMONT PLACE,7,Dublin,OPEN
Kilmainham Gaol,97,32,True,40,"{'lat': 53.342113, 'lng': -6.310015}",1521489372000,False,KILMAINHAM GAOL,8,Dublin,OPEN
Hardwicke Place,61,25,True,25,"{'lat': 53.357043, 'lng': -6.263232}",1521489251000,False,HARDWICKE PLACE,0,Dublin,OPEN
Wolfe Tone Street,77,11,False,29,"{'lat': 53.348875, 'lng': -6.267459}",1521489079000,False,WOLFE TONE STREET,18,Dublin,OPEN
Francis Street,73,13,True,30,"{'lat': 53.342081, 'lng': -6.275233}",1521489282000,False,FRANCIS STREET,17,Dublin,OPEN
Greek Street,4,16,False,20,"{'lat': 53.346874, 'lng': -6.272976}",1521489517000,False,GREEK STREET,4,Dublin,OPEN
Guild Street,49,36,False,40,"{'lat': 53.347932, 'lng': -6.240928}",1521489147000,False,GUILD STREET,4,Dublin,OPEN
Herbert Place,19,15,False,30,"{'lat': 53.334432, 'lng': -6.245575}",1521489555000,False,HERBERT PLACE,15,Dublin,OPEN
High Street,7,11,True,29,"{'lat': 53.343565, 'lng': -6.275071}",1521489460000,False,HIGH STREET,18,Dublin,OPEN
North Circular Road,60,18,True,30,"{'lat': 53.359624, 'lng': -6.260348}",1521489259000,False,NORTH CIRCULAR ROAD,12,Dublin,OPEN
Western Way,102,33,False,40,"{'lat': 53.354929, 'lng': -6.269425}",1521489176000,False,WESTERN WAY,7,Dublin,OPEN
Talbot Street,38,14,False,40,"{'lat': 53.350974, 'lng': -6.25294}",1521489492000,False,TALBOT STREET,26,Dublin,OPEN
Newman House,53,30,False,40,"{'lat': 53.337132, 'lng': -6.26059}",1521489509000,False,NEWMAN HOUSE,10,Dublin,OPEN
Sir Patrick's Dun,58,16,True,40,"{'lat': 53.339218, 'lng': -6.240642}",1521489475000,False,SIR PATRICK DUN'S,24,Dublin,OPEN
New Central Bank,66,34,False,40,"{'lat': 53.347122, 'lng': -6.234749}",1521489474000,False,NEW CENTRAL BANK,6,Dublin,OPEN
King Street North,101,22,False,30,"{'lat': 53.350291, 'lng': -6.273507}",1521489290000,False,KING STREET NORTH,8,Dublin,OPEN
Herbert Street,47,3,False,40,"{'lat': 53.335742, 'lng': -6.24551}",1521489496000,False,HERBERT STREET,37,Dublin,OPEN
Custom House Quay,8,13,False,30,"{'lat': 53.347884, 'lng': -6.248048}",1521489328000,False,CUSTOM HOUSE QUAY,17,Dublin,OPEN
Molesworth Street,27,12,False,20,"{'lat': 53.341288, 'lng': -6.258117}",1521489535000,False,MOLESWORTH STREET,8,Dublin,OPEN
Georges Quay,16,4,False,20,"{'lat': 53.347508, 'lng': -6.252192}",1521489282000,False,GEORGES QUAY,16,Dublin,OPEN
Kilmainham Lane,96,29,False,30,"{'lat': 53.341805, 'lng': -6.305085}",1521489124000,False,KILMAINHAM LANE,1,Dublin,OPEN
Mount Brown,82,13,False,22,"{'lat': 53.341645, 'lng': -6.29719}",1521489315000,False,MOUNT BROWN,9,Dublin,OPEN
Market Street South,76,30,False,38,"{'lat': 53.342296, 'lng': -6.287661}",1521489608000,False,MARKET STREET SOUTH,8,Dublin,OPEN
Kevin Street,71,21,True,40,"{'lat': 53.337757, 'lng': -6.267699}",1521489425000,False,KEVIN STREET,19,Dublin,OPEN
Eccles Street East,79,26,False,27,"{'lat': 53.358115, 'lng': -6.265601}",1521489342000,False,ECCLES STREET EAST,1,Dublin,OPEN
Grand Canal Dock,69,6,False,40,"{'lat': 53.342638, 'lng': -6.238695}",1521489496000,False,GRAND CANAL DOCK,34,Dublin,OPEN
Merrion Square East,25,0,False,30,"{'lat': 53.339434, 'lng': -6.246548}",1521489507000,False,MERRION SQUARE EAST,30,Dublin,CLOSED
York Street West,51,23,False,40,"{'lat': 53.339334, 'lng': -6.264699}",1521489373000,False,YORK STREET WEST,17,Dublin,OPEN
St. Stephen's Green South,37,25,True,30,"{'lat': 53.337494, 'lng': -6.26199}",1521489094000,False,ST. STEPHEN'S GREEN SOUTH,5,Dublin,OPEN
Denmark Street Great,59,20,False,20,"{'lat': 53.35561, 'lng': -6.261397}",1521489153000,False,DENMARK STREET GREAT,0,Dublin,OPEN
Royal Hospital,95,31,True,40,"{'lat': 53.343897, 'lng': -6.29706}",1521489617000,False,ROYAL HOSPITAL,9,Dublin,OPEN
Heuston Station (Car Park),94,17,False,40,"{'lat': 53.346985, 'lng': -6.297804}",1521489125000,False,HEUSTON STATION (CAR PARK),23,Dublin,OPEN
St. Stephen's Green East,36,19,True,40,"{'lat': 53.337824, 'lng': -6.256035}",1521489627000,False,ST. STEPHEN'S GREEN EAST,21,Dublin,OPEN
Heuston Station (Central),93,0,False,40,"{'lat': 53.346603, 'lng': -6.296924}",1521489252000,False,HEUSTON STATION (CENTRAL),40,Dublin,OPEN
Townsend Street,22,14,False,20,"{'lat': 53.345922, 'lng': -6.254614}",1521489106000,False,TOWNSEND STREET,6,Dublin,OPEN
Eccles Street,12,16,False,20,"{'lat': 53.359246, 'lng': -6.269779}",1521489040000,False,ECCLES STREET,3,Dublin,OPEN
Portobello Harbour,34,3,False,30,"{'lat': 53.330362, 'lng': -6.265163}",1521489562000,False,PORTOBELLO HARBOUR,27,Dublin,OPEN
Mater Hospital,78,33,False,40,"{'lat': 53.359967, 'lng': -6.264828}",1521489380000,False,MATER HOSPITAL,7,Dublin,OPEN
Blessington Street,2,19,True,20,"{'lat': 53.356769, 'lng': -6.26814}",1521489096000,False,BLESSINGTON STREET,1,Dublin,OPEN
James Street,75,40,True,40,"{'lat': 53.343456, 'lng': -6.287409}",1521489128000,False,JAMES STREET,0,Dublin,OPEN
Merrion Square West,26,15,True,20,"{'lat': 53.339764, 'lng': -6.251988}",1521489143000,False,MERRION SQUARE WEST,5,Dublin,CLOSED
Convention Centre,65,40,True,40,"{'lat': 53.34744, 'lng': -6.238523}",1521489111000,False,CONVENTION CENTRE,0,Dublin,OPEN
Hardwicke Street,15,16,False,16,"{'lat': 53.355473, 'lng': -6.264423}",1521489561000,False,HARDWICKE STREET,0,Dublin,OPEN
Parkgate Street,86,29,True,38,"{'lat': 53.347972, 'lng': -6.291804}",1521489045000,False,PARKGATE STREET,9,Dublin,OPEN
Smithfield,35,17,False,30,"{'lat': 53.347692, 'lng': -6.278214}",1521489072000,False,SMITHFIELD,13,Dublin,OPEN
Dame Street,10,3,True,16,"{'lat': 53.344007, 'lng': -6.266802}",1521489132000,False,DAME STREET,13,Dublin,OPEN
Heuston Bridge (South),100,21,False,25,"{'lat': 53.347106, 'lng': -6.292041}",1521489093000,False,HEUSTON BRIDGE (SOUTH),4,Dublin,OPEN
Cathal Brugha Street,24,8,False,20,"{'lat': 53.352149, 'lng': -6.260533}",1521489197000,False,CATHAL BRUGHA STREET,12,Dublin,OPEN
Sandwith Street,64,0,True,40,"{'lat': 53.345203, 'lng': -6.247163}",1521489161000,False,SANDWITH STREET,0,Dublin,CLOSED
Rothe Abbey,85,32,True,35,"{'lat': 53.338776, 'lng': -6.30395}",1521489504000,False,ROTHE ABBEY,3,Dublin,OPEN
Princes Street / O'Connell Street,33,2,True,23,"{'lat': 53.349013, 'lng': -6.260311}",1521489566000,False,PRINCES STREET / O'CONNELL STREET,21,Dublin,OPEN
Upper Sherrard Street,44,27,False,30,"{'lat': 53.358437, 'lng': -6.260641}",1521489638000,False,UPPER SHERRARD STREET,3,Dublin,OPEN
Fitzwilliam Square East,89,0,True,40,"{'lat': 53.335211, 'lng': -6.2509}",1521489444000,False,FITZWILLIAM SQUARE EAST,0,Dublin,CLOSED
Grattan Street,57,9,False,23,"{'lat': 53.339629, 'lng': -6.243778}",1521489470000,False,GRATTAN STREET,14,Dublin,OPEN
St James Hospital (Luas),80,38,False,40,"{'lat': 53.341359, 'lng': -6.292951}",1521489293000,False,ST JAMES HOSPITAL (LUAS),2,Dublin,OPEN
Harcourt Terrace,41,18,False,20,"{'lat': 53.332763, 'lng': -6.257942}",1521489529000,False,HARCOURT TERRACE,2,Dublin,OPEN
Bolton Street,3,12,False,20,"{'lat': 53.351182, 'lng': -6.269859}",1521489534000,False,BOLTON STREET,8,Dublin,OPEN
Strand Street Great,46,0,True,35,"{'lat': 53.347082, 'lng': -6.264192}",1521489417000,False,STRAND STREET GREAT,35,Dublin,OPEN
Jervis Street,40,9,True,21,"{'lat': 53.3483, 'lng': -6.266651}",1521489624000,False,JERVIS STREET,12,Dublin,OPEN
Ormond Quay Upper,29,1,True,29,"{'lat': 53.346057, 'lng': -6.268001}",1521489620000,False,ORMOND QUAY UPPER,28,Dublin,OPEN
Barrow Street,70,1,True,40,"{'lat': 53.341655, 'lng': -6.236198}",1521489460000,False,BARROW STREET,39,Dublin,OPEN
Mountjoy Square West,28,23,False,30,"{'lat': 53.356299, 'lng': -6.258586}",1521489553000,False,MOUNTJOY SQUARE WEST,7,Dublin,OPEN
Wilton Terrace,39,14,True,20,"{'lat': 53.332383, 'lng': -6.252717}",1521489099000,False,WILTON TERRACE,6,Dublin,OPEN
Emmet Road,83,32,False,40,"{'lat': 53.340714, 'lng': -6.308191}",1521489183000,False,EMMET ROAD,8,Dublin,OPEN
Heuston Bridge (North),92,6,False,40,"{'lat': 53.347802, 'lng': -6.292432}",1521489279000,False,HEUSTON BRIDGE (NORTH),34,Dublin,OPEN
Leinster Street South,21,11,False,30,"{'lat': 53.34218, 'lng': -6.254485}",1521489034000,False,LEINSTER STREET SOUTH,19,Dublin,OPEN
Blackhall Place,88,29,False,30,"{'lat': 53.3488, 'lng': -6.281637}",1521489474000,False,BLACKHALL PLACE,1,Dublin,OPEN
address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Smithfield North,42,16,True,30,"{'lat': 53.349562, 'lng': -6.278198}",1521489876000,False,SMITHFIELD NORTH,14,Dublin,OPEN
Parnell Square North,30,18,True,20,"{'lat': 53.353462, 'lng': -6.265305}",1521489336000,False,PARNELL SQUARE NORTH,2,Dublin,OPEN
Clonmel Street,54,11,False,33,"{'lat': 53.336021, 'lng': -6.26298}",1521489835000,False,CLONMEL STREET,22,Dublin,OPEN
Mount Street Lower,56,0,False,40,"{'lat': 53.33796, 'lng': -6.24153}",1521489456000,False,MOUNT STREET LOWER,40,Dublin,OPEN
Christchurch Place,6,1,False,20,"{'lat': 53.343368, 'lng': -6.27012}",1521489483000,False,CHRISTCHURCH PLACE,19,Dublin,OPEN
Grantham Street,18,0,True,30,"{'lat': 53.334123, 'lng': -6.265436}",1521489653000,False,GRANTHAM STREET,30,Dublin,OPEN
Pearse Street,32,25,True,30,"{'lat': 53.344304, 'lng': -6.250427}",1521489774000,False,PEARSE STREET,5,Dublin,OPEN
York Street East,52,32,False,32,"{'lat': 53.338755, 'lng': -6.262003}",1521489410000,False,YORK STREET EAST,0,Dublin,OPEN
Excise Walk,48,22,False,40,"{'lat': 53.347777, 'lng': -6.244239}",1521489823000,False,EXCISE WALK,18,Dublin,OPEN
Fitzwilliam Square West,13,6,False,30,"{'lat': 53.336074, 'lng': -6.252825}",1521489447000,False,FITZWILLIAM SQUARE WEST,24,Dublin,OPEN
Portobello Road,43,12,True,30,"{'lat': 53.330091, 'lng': -6.268044}",1521489866000,False,PORTOBELLO ROAD,18,Dublin,OPEN
St. James Hospital (Central),81,34,False,40,"{'lat': 53.339983, 'lng': -6.295594}",1521489421000,False,ST. JAMES HOSPITAL (CENTRAL),6,Dublin,OPEN
Parnell Street,31,18,False,20,"{'lat': 53.350929, 'lng': -6.265125}",1521489819000,False,PARNELL STREET,2,Dublin,OPEN
Frederick Street South,98,21,True,30,"{'lat': 53.341515, 'lng': -6.256853}",1521489657000,False,FREDERICK STREET SOUTH,9,Dublin,OPEN
Fownes Street Upper,14,10,False,30,"{'lat': 53.344603, 'lng': -6.263371}",1521489934000,False,FOWNES STREET UPPER,20,Dublin,OPEN
Clarendon Row,1,18,False,31,"{'lat': 53.340927, 'lng': -6.262501}",1521489751000,False,CLARENDON ROW,13,Dublin,OPEN
Custom House,23,0,True,30,"{'lat': 53.348279, 'lng': -6.254662}",1521489646000,False,CUSTOM HOUSE,30,Dublin,CLOSED
Hanover Quay,68,20,True,40,"{'lat': 53.344115, 'lng': -6.237153}",1521489839000,False,HANOVER QUAY,20,Dublin,OPEN
Oliver Bond Street,74,24,False,30,"{'lat': 53.343893, 'lng': -6.280531}",1521489352000,False,OLIVER BOND STREET,6,Dublin,OPEN
Collins Barracks Museum,87,33,True,38,"{'lat': 53.347477, 'lng': -6.28525}",1521489863000,False,COLLINS BARRACKS MUSEUM,5,Dublin,OPEN
Brookfield Road,84,24,False,30,"{'lat': 53.339005, 'lng': -6.300217}",1521489551000,False,BROOKFIELD ROAD,6,Dublin,OPEN
Benson Street,90,0,False,40,"{'lat': 53.344153, 'lng': -6.233451}",1521489400000,False,BENSON STREET,0,Dublin,CLOSED
Earlsfort Terrace,11,29,False,30,"{'lat': 53.334019, 'lng': -6.258371}",1521489548000,False,EARLSFORT TERRACE,1,Dublin,OPEN
Golden Lane,17,7,False,20,"{'lat': 53.340803, 'lng': -6.267732}",1521489460000,False,GOLDEN LANE,13,Dublin,OPEN
